Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,True,0.23529411764705882,0.0,预测答案“National Cycle Network”与标准答案“United Kingdom's National Cycle Network (NCN)”在语义上完全等价，因为它直接提取了标准答案中的核心关键信息，即国家自行车网络这一主体。尽管预测答案省略了“United Kingdom's”和缩写“NCN”等细节，但这些并不影响对问题本质的回答，因为问题明确询问的是“什么网络”，而预测答案准确指出了网络名称，符合措辞差异允许的范围，意思保持一致。,National Cycle Network,True,0.23529411764705882,0.0,预测答案“National Cycle Network”与标准答案“United Kingdom's National Cycle Network (NCN)”在语义上完全等价，因为它直接提取了标准答案中的核心关键信息，即国家自行车网络这一主体。尽管预测答案省略了“United Kingdom's”和缩写“NCN”等细节，但这些并不影响对问题本质的回答，因为问题明确询问的是“什么网络”，而预测答案准确指出了网络名称，符合措辞差异允许的范围，意思保持一致。
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案“Corfe Mullen, Dorset, England”与标准答案完全一致，不仅包含了所有关键信息（地点名称、郡县和国家），而且在语义上完全等价，没有任何措辞差异或信息缺失。这确保了预测答案准确地回答了关于Julia's House总部位置的问题，符合所有判断标准。","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案“Corfe Mullen, Dorset, England”与标准答案完全一致，不仅包含了所有关键信息（地点名称、郡县和国家），而且在语义上完全等价，没有任何措辞差异或信息缺失。这确保了预测答案准确地回答了关于Julia's House总部位置的问题，符合所有判断标准。"
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",True,1.0,1.0,"预测答案与标准答案在语义上完全等价，都明确指出Coffee Swamp位于华盛顿岛北缘、威斯康星州多尔县。虽然预测答案中省略了“Door County”后的逗号，但这属于标点符号的细微差异，不影响核心地理信息的准确性和完整性。关键要素“northern edge of Washington Island”和“Door County, Wisconsin”均被准确包含，因此预测答案正确回答了问题。","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",True,1.0,1.0,"预测答案与标准答案在语义上完全等价，都明确指出Coffee Swamp位于华盛顿岛北缘、威斯康星州多尔县。虽然预测答案中省略了“Door County”后的逗号，但这属于标点符号的细微差异，不影响核心地理信息的准确性和完整性。关键要素“northern edge of Washington Island”和“Door County, Wisconsin”均被准确包含，因此预测答案正确回答了问题。"
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,True,0.5714285714285715,0.0,预测答案“Johan Ludvig Heiberg”直接提供了标准答案中的核心信息，即彼得·安德烈亚斯·海贝格的孩子是谁。虽然预测答案省略了标准答案中的完整句子结构，但它在语义上完全等价，因为人名本身已准确回答了问题。根据判断标准，预测答案包含了关键信息，且措辞差异不影响意思的一致性，因此正确回答了问题。,Johan Ludvig Heiberg,True,0.5714285714285715,0.0,预测答案“Johan Ludvig Heiberg”直接提供了标准答案中的核心信息，即彼得·安德烈亚斯·海贝格的孩子是谁。虽然预测答案省略了标准答案中的完整句子结构，但它在语义上完全等价，因为人名本身已准确回答了问题。根据判断标准，预测答案包含了关键信息，且措辞差异不影响意思的一致性，因此正确回答了问题。
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,Johanne Luise Heiberg,True,1.0,1.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，不仅包含了关键信息——即Johan Ludvig Heiberg的配偶姓名，而且在语义上完全等价，没有任何措辞差异。该答案直接、准确地回答了问题，符合所有判断标准，因此可以确认为正确回答。,Johanne Luise Heiberg,True,1.0,1.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，不仅包含了关键信息——即Johan Ludvig Heiberg的配偶姓名，而且在语义上完全等价，没有任何措辞差异。该答案直接、准确地回答了问题，符合所有判断标准，因此可以确认为正确回答。
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.",King Henry III of England,True,0.4799999999999999,0.0,预测答案“King Henry III of England”完全包含了标准答案中的关键信息，即爱丽丝·德·吕西尼昂的同母异父兄弟是英格兰国王亨利三世。尽管预测答案省略了“uterine half-brother”这一具体关系描述，但标准答案的核心内容已通过“King Henry III of England”准确体现，两者在语义上完全等价，且没有引入任何矛盾或错误信息。这种措辞上的简化不影响答案的正确性，因为问题直接询问兄弟姐妹身份，而预测答案给出了唯一且准确的姓名。,King Henry III of England,True,0.4799999999999999,0.0,预测答案“King Henry III of England”完全包含了标准答案中的关键信息，即爱丽丝·德·吕西尼昂的同母异父兄弟是英格兰国王亨利三世。尽管预测答案省略了“uterine half-brother”这一具体关系描述，但标准答案的核心内容已通过“King Henry III of England”准确体现，两者在语义上完全等价，且没有引入任何矛盾或错误信息。这种措辞上的简化不影响答案的正确性，因为问题直接询问兄弟姐妹身份，而预测答案给出了唯一且准确的姓名。
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1216 and 1220,True,0.4,0.0,预测答案“1216 and 1220”简洁地包含了标准答案中亨利三世加冕的两个关键年份，即1216年和1220年。虽然预测答案省略了具体地点和第二次加冕的精确日期（5月17日），但问题核心是询问加冕时间，预测答案通过提供两个年份准确回应了这一点，在语义上与标准答案等价，且措辞差异不影响关键信息的传达。,1216 and 1220,True,0.4,0.0,预测答案“1216 and 1220”简洁地包含了标准答案中亨利三世加冕的两个关键年份，即1216年和1220年。虽然预测答案省略了具体地点和第二次加冕的精确日期（5月17日），但问题核心是询问加冕时间，预测答案通过提供两个年份准确回应了这一点，在语义上与标准答案等价，且措辞差异不影响关键信息的传达。
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了标准答案中的核心信息，即雇佣恩斯特·马赫的大学是布拉格的查理大学。虽然预测答案省略了“Ernst Mach was employed at”这一表述，但其内容在语义上与标准答案完全等价，关键信息（大学名称和地点）准确无误，符合允许措辞差异但意思一致的要求。因此，预测答案正确回答了问题。,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了标准答案中的核心信息，即雇佣恩斯特·马赫的大学是布拉格的查理大学。虽然预测答案省略了“Ernst Mach was employed at”这一表述，但其内容在语义上与标准答案完全等价，关键信息（大学名称和地点）准确无误，符合允许措辞差异但意思一致的要求。因此，预测答案正确回答了问题。
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”直接提供了标准答案中的核心关键信息，即物理学家姓名，虽然省略了国籍和哲学家身份等补充细节，但已完整回答了“马赫数以哪位物理学家命名”这一问题的本质。在语义上，两者完全等价，因为标准答案的主体就是“Ernst Mach”，预测答案通过简洁表述准确抓住了问题的核心，符合允许措辞差异但意思一致的标准。,Ernst Mach,True,0.2857142857142857,0.0,预测答案“Ernst Mach”直接提供了标准答案中的核心关键信息，即物理学家姓名，虽然省略了国籍和哲学家身份等补充细节，但已完整回答了“马赫数以哪位物理学家命名”这一问题的本质。在语义上，两者完全等价，因为标准答案的主体就是“Ernst Mach”，预测答案通过简洁表述准确抓住了问题的核心，符合允许措辞差异但意思一致的标准。
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了标准答案中的核心信息，即恩斯特·马赫的雇主或学术机构是布拉格的查理大学。虽然预测答案省略了“Ernst Mach was a professor at”这一部分，但问题询问的是雇主或机构名称，预测答案精准地给出了这一关键实体，与标准答案在语义上完全等价，且没有引入任何矛盾或错误信息。因此，预测答案正确回答了问题。,Charles University in Prague,True,0.625,0.0,预测答案“Charles University in Prague”直接提供了标准答案中的核心信息，即恩斯特·马赫的雇主或学术机构是布拉格的查理大学。虽然预测答案省略了“Ernst Mach was a professor at”这一部分，但问题询问的是雇主或机构名称，预测答案精准地给出了这一关键实体，与标准答案在语义上完全等价，且没有引入任何矛盾或错误信息。因此，预测答案正确回答了问题。
