key,Sub Question_r1,Ground Truth_r1,Predicted_r1,Predicted_r02
Who is the spouse of the child of Peter Andreas Heiberg?|||Who is the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg., Johan Ludvig Heiberg, Johanne Luise Heiberg
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?|||Who were the siblings of Alice de Lusignan, Countess of Surrey?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.", King Henry III of England," John de Lusignan, Joan de Lusignan, and Geoffrey de Lusignan"
"What is the capital of the county that Pine Springs is located in?|||What is the county seat of Culberson County, Texas?","What is the county seat of Culberson County, Texas?",Van Horn, Pine Springs, Granger
Whose sister played Susie in miracle on 34th street?|||Who played Susie in Miracle on 34th Street?,Who played Susie in Miracle on 34th Street?,Natalie Wood played Susan Walker in Miracle on 34th Street., Natalie Wood, Maureen O'Hara
Whose sister played Susie in miracle on 34th street?|||Who is Natalie Wood's brother?,Who is Natalie Wood's brother?,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.," Lana Wood, the sister of Natalie Wood.", Robert Lee
What place does the administrative territorial entity that Juba is located in share a border with?|||What is the administrative territorial entity that contains Juba?,What is the administrative territorial entity that contains Juba?,Central Equatoria, Central Equatoria, Jeju
Who is the spouse of a cast member from King of the Mountain?|||Who are the cast members of King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.," Harry Hamlin, Deborah Van Valkenburgh"," The cast members of King of the Mountain include Kaki King, Christopher Walken, Stephen Tobolowsky, Daryl Mitchell, M.C. Gainey, Diedrich Bader, Alex Rocco, Meagen Fay, Eli Marienthal, Diedrich Bader, Candy Ford, James Gammon, Brad Garrett, Toby Huss, Kevin Michael Richardson, and Stephen."
When was John's eldest son crowned?|||When was John's eldest son crowned?,When was John's eldest son crowned?,"John I of Cyprus (John II of Jerusalem) was crowned on May 11, 1284.",1284,1284
Who is the child of Chiang Hsiao-wen's father?|||Who is Chiang Hsiao-wen's father?,Who is Chiang Hsiao-wen's father?,Chiang Hsiao-wen's father is Chiang Ching-kuo., Chiang Ching-kuo, Chiang Ching-kuo
Who is the child of the actor who is a cast member of Love in Pawn?|||Who is the child of Bernard Braden or Barbara Kelly?,Who is the child of Bernard Braden or Barbara Kelly?,Kim Braden is the daughter of Bernard Braden and Barbara Kelly., Kim Braden, Daisy-May Bates
Who is the spouse of the first nominated African American presidential candidate?|||Who was the spouse of Frederick Douglass?,Who was the spouse of Frederick Douglass?,"Frederick Douglass had two spouses: his first wife was Anna Murray Douglass, and his second wife was Helen Pitts Douglass.", Helen Pitts Douglass and Anna Murray Douglass," Helen Pitts and Mary Ann M'Clintock were the spouses of Frederick Douglass, but Helen Pitts Douglass was his second wife. Mary Ann M'Clintock was his first wife."
What event caused the founder of Australia's liberal party to become Prime Minister?|||What specific political event or circumstance led to Robert Menzies first becoming Prime Minister of Australia in 1939?,What specific political event or circumstance led to Robert Menzies first becoming Prime Minister of Australia in 1939?,"Robert Menzies first became Prime Minister of Australia in 1939 following the death of the previous Prime Minister, Joseph Lyons."," The UAP, led by Joseph Lyons, won a landslide victory at the 1931 Election, and the Lyons Government went on to win three consecutive elections. With Joseph Lyons' death in 1939, Robert Menzies assumed the Prime Ministership on the eve of war.","1949, in part over a Labor proposal to nationalise banks and following a crippling coal strike led by the Australian Communist Party."
Who was the spouse of a leading speaker against slavery and publisher of an antislavery newspaper?|||Who was Frederick Douglass's spouse?,Who was Frederick Douglass's spouse?,"Frederick Douglass had two spouses: his first wife was Anna Murray Douglass, and his second wife was Helen Pitts Douglass.", Helen Pitts and Anna Murray, Helen Pitts and Mary Ann M'Clintock
Where is Ulrich Walter's employer headquartered?|||Who is Ulrich Walter's employer?,Who is Ulrich Walter's employer?,Ulrich Walter's employers were the German astronaut team and the German Aerospace Center (DLR)., German Aerospace Center, the German astronaut team
Who founded the company that distributed the film UHF?|||Which company distributed the film UHF?,Which company distributed the film UHF?,Orion Pictures, Orion Pictures,20th Century Fox
"Who is the grandmother of Philippe, Duke of Orléans?|||Who is Philippe, Duke of Orléans?","Who is Philippe, Duke of Orléans?","Philippe, Duke of Orléans (1640–1701) was the younger son of King Louis XIII of France and Anne of Austria, making him the younger brother of King Louis XIV. He was originally styled Duke of Anjou and became Duke of Orléans in 1660. He was also granted other titles such as Duke of Valois, Chartres, and Nemours. At court, he was known simply as 'Monsieur'."," Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife, Anne of Austria. He became Duke of Orléans upon the death of his uncle Gaston in 1660."," Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife Anne of Austria. He became Duke of Orléans upon the death of his uncle Gaston in 1660 and was known as ""Monsieur"" at the court of France. He was a French statesman who served under his nephew Louis XIV and was involved in negotiations such as the Treaty of Loudun in 1616."
"In which state is Vera Barbosa's place of birth located?|||In which state is Vila Franca de Xira, Portugal located?","In which state is Vila Franca de Xira, Portugal located?",Vila Franca de Xira is located in the Lisbon District of Portugal., Lisbon District, Lisbon District
